,time_left,ct_score,t_score,map,bomb_planted,ct_health,t_health,ct_armor,t_armor,ct_money,t_money,ct_helmets,t_helmets,ct_defuse_kits,ct_players_alive,t_players_alive
0,175.0,0,0,de_dust2,0,500,500,0,0,4000,4000,0,0,0,5,5
1,156.03,0,0,de_dust2,0,500,500,400,300,600,650,0,0,1,5,5
2,96.03,0,0,de_dust2,0,391,400,294,200,750,500,0,0,1,4,4
3,76.03,0,0,de_dust2,0,391,400,294,200,750,500,0,0,1,4,4
4,174.97,1,0,de_dust2,0,500,500,192,0,18350,10750,0,0,1,5,5
5,114.97,1,0,de_dust2,0,500,500,500,0,1750,10550,5,0,1,5,5
6,94.97,1,0,de_dust2,0,295,111,296,0,1700,5000,3,0,0,3,2
7,74.97,1,0,de_dust2,0,295,111,296,0,1700,5000,3,0,0,3,2
8,54.97,1,0,de_dust2,0,249,89,269,0,2300,2950,3,0,0,3,1
9,174.97,2,0,de_dust2,0,500,500,196,0,19800,23450,2,0,0,5,5
10,114.97,2,0,de_dust2,0,500,500,496,500,2200,1000,4,5,2,5,5
11,94.97,2,0,de_dust2,0,500,500,496,500,2200,1000,4,5,2,5,5
13,54.97,2,0,de_dust2,0,116,126,187,179,1050,350,1,2,1,2,2
14,34.97,2,0,de_dust2,0,100,105,100,174,300,650,0,2,0,1,2
15,174.97,2,1,de_dust2,0,500,500,0,174,9700,18750,0,2,0,5,5
16,114.97,2,1,de_dust2,0,500,500,500,474,850,3150,0,5,0,5,5
17,94.97,2,1,de_dust2,0,431,428,499,465,850,3150,0,5,0,5,5
18,74.97,2,1,de_dust2,0,404,328,494,365,1150,3050,0,4,0,5,4
19,54.97,2,1,de_dust2,0,391,211,489,323,1150,3050,0,4,0,5,4
20,29.27,2,1,de_dust2,1,379,99,487,93,2050,100,0,1,0,5,1
21,174.97,3,1,de_dust2,0,500,500,487,93,19850,16950,0,1,0,5,5
22,114.97,3,1,de_dust2,0,500,500,499,493,12100,2200,4,5,1,5,5
23,94.97,3,1,de_dust2,0,300,339,299,373,6850,2550,2,4,1,3,4
24,74.97,3,1,de_dust2,0,200,339,200,373,4450,2850,2,4,1,2,4
25,54.97,3,1,de_dust2,0,100,149,100,175,1050,950,1,2,1,1,2
26,22.7,3,1,de_dust2,1,100,149,100,175,1050,1250,1,2,1,1,2
27,174.97,3,2,de_dust2,0,500,500,0,172,18400,19850,0,2,0,5,5
28,175.0,3,2,de_dust2,0,500,500,100,472,13000,5100,0,5,0,5,5
29,172.1,3,2,de_dust2,0,500,500,400,472,4050,5100,2,5,1,5,5
30,112.1,3,2,de_dust2,0,500,500,500,472,850,5100,2,5,1,5,5
31,92.1,3,2,de_dust2,0,300,414,300,441,250,6000,1,5,0,3,5
32,72.1,3,2,de_dust2,0,300,414,300,441,250,6000,1,5,0,3,5
33,37.38,3,2,de_dust2,1,300,414,300,441,250,6300,1,5,0,3,5
34,17.38,3,2,de_dust2,1,300,414,300,441,250,6300,1,5,0,3,5
35,174.97,3,3,de_dust2,0,500,500,285,436,10350,23800,1,5,0,5,5
36,114.97,3,3,de_dust2,0,500,500,285,436,9650,19900,1,5,0,5,5
37,94.97,3,3,de_dust2,0,399,465,285,433,7750,20000,1,5,0,4,5
38,74.97,3,3,de_dust2,0,163,149,100,155,3750,8650,0,2,0,2,2
39,24.84,3,3,de_dust2,1,67,0,96,0,2150,0,0,0,0,1,0
40,174.97,4,3,de_dust2,0,500,500,96,0,28550,32200,0,0,0,5,5
41,114.97,4,3,de_dust2,0,500,500,496,500,5000,5450,2,5,1,5,5
42,94.97,4,3,de_dust2,0,400,476,400,498,350,5550,2,5,1,4,5
43,74.97,4,3,de_dust2,0,300,286,300,392,300,4950,2,4,1,3,4
45,7.35,4,3,de_dust2,1,100,210,100,294,250,3350,1,3,1,1,3
46,174.96,4,4,de_dust2,0,500,500,0,282,12400,23100,0,3,0,5,5
47,114.96,4,4,de_dust2,0,500,500,500,482,500,10500,0,5,0,5,5
48,94.96,4,4,de_dust2,0,500,490,500,482,500,10500,0,5,0,5,5
49,74.96,4,4,de_dust2,0,400,390,400,388,450,9150,0,4,0,4,4
50,54.96,4,4,de_dust2,0,298,192,300,200,750,4600,0,2,0,3,2
51,174.96,5,4,de_dust2,0,500,500,299,0,17850,17900,0,0,0,5,5
52,175.0,5,4,de_dust2,0,500,500,399,0,8200,17900,2,0,1,5,5
53,168.7,5,4,de_dust2,0,500,500,499,0,4100,17900,3,0,2,5,5
54,108.7,5,4,de_dust2,0,500,500,499,0,3500,16400,3,0,2,5,5
55,88.7,5,4,de_dust2,0,307,70,382,0,3250,2450,2,0,1,4,1
56,174.97,6,4,de_dust2,0,500,500,382,0,20650,26200,2,0,2,5,5
57,114.97,6,4,de_dust2,0,500,500,482,500,12250,1150,3,5,4,5,5
58,94.97,6,4,de_dust2,0,473,500,472,500,12250,1150,3,5,4,5,5
59,74.97,6,4,de_dust2,0,454,460,465,500,12250,1150,3,5,4,5,5
60,54.97,6,4,de_dust2,0,454,460,465,500,12250,1150,3,5,4,5,5
61,35.3,6,4,de_dust2,1,371,360,371,400,10950,1600,2,4,3,4,4
62,15.3,6,4,de_dust2,1,338,260,366,300,11050,1250,2,3,3,4,3
63,174.96,7,4,de_dust2,0,500,500,358,0,30950,17750,2,0,3,5,5
64,114.96,7,4,de_dust2,0,500,500,466,300,19150,10900,4,2,4,5,5
65,94.96,7,4,de_dust2,0,500,500,466,300,18950,10600,4,2,4,5,5
66,74.96,7,4,de_dust2,0,500,500,466,300,18950,10600,4,2,4,5,5
67,174.97,8,4,de_dust2,0,500,500,360,0,36500,25400,3,0,3,5,5
68,114.97,8,4,de_dust2,0,500,500,478,400,26700,750,5,4,5,5,5
69,94.97,8,4,de_dust2,0,476,300,477,200,26900,400,5,2,5,5,3
70,74.97,8,4,de_dust2,0,376,200,377,100,21300,250,4,1,4,4,2
